Product_ID,Material_Name,CAS_Number,FEMA,Supplier,Original_Price,Currency,Price_Per_Gram
"(-)-isolongifolene, Iso-longifolene [MySkinRecipes]","(-)-isolongifolene, Iso-longifolene",1135-66-6,,MySkinRecipes,1450.0,THB (per kg),1.45
"(2E,4E)-deca-2,4-dienal (FEMA-3135) [MySkinRecipes]","(2E,4E)-deca-2,4-dienal (FEMA-3135)",25152-84-5,3135.0,MySkinRecipes,42000.0,THB (per kg),42.0
"(2E,6Z)-nona-2,6-dienal (FEMA-3377) [MySkinRecipes]","(2E,6Z)-nona-2,6-dienal (FEMA-3377)",557-48-2,3377.0,MySkinRecipes,175500.0,THB (per kg),175.5
"(2R,5R)-5-methyl-2-propan-2-ylcyclohexan-1-one [MySkinRecipes]","(2R,5R)-5-methyl-2-propan-2-ylcyclohexan-1-one",1196-31-2,,MySkinRecipes,9000.0,THB (per kg),9.0
(4-prop-1-en-2-yl-1-cyclohexenyl)methanol (FEMA-2664) [MySkinRecipes],(4-prop-1-en-2-yl-1-cyclohexenyl)methanol (FEMA-2664),536-59-4,2664.0,MySkinRecipes,78000.0,THB (per kg),78.0
(5E)-3-methylcyclopentadec-5-en-1-one [MySkinRecipes],(5E)-3-methylcyclopentadec-5-en-1-one,82356-51-2,,MySkinRecipes,43500.0,THB (per kg),43.5
"(6R)-6-pentyl-5,6-dihydropyran-2-one (FEMA-3744) [MySkinRecipes]","(6R)-6-pentyl-5,6-dihydropyran-2-one (FEMA-3744)",51154-96-2,3744.0,MySkinRecipes,142500.0,THB (per kg),142.5
"(E)-1-(2,6,6-trimethyl-1-cyclohex-2-enyl)but-2-en-1-one (FEMA-4088) [MySkinRecipes]","(E)-1-(2,6,6-trimethyl-1-cyclohex-2-enyl)but-2-en-1-one (FEMA-4088)",24720-09-0,4088.0,MySkinRecipes,12450.0,THB (per kg),12.45
"(E)-1-(2,6,6-trimethyl-1-cyclohexenyl)but-2-en-1-one (FEMA-3243) [MySkinRecipes]","(E)-1-(2,6,6-trimethyl-1-cyclohexenyl)but-2-en-1-one (FEMA-3243)",23726-91-2,3243.0,MySkinRecipes,19500.0,THB (per kg),19.5
(E)-2-hexen-1-yl acetate (FEMA-2564) [MySkinRecipes],(E)-2-hexen-1-yl acetate (FEMA-2564),2497-18-9,2564.0,MySkinRecipes,7650.0,THB (per kg),7.65
(E)-5-tangerine acetate [MySkinRecipes],(E)-5-tangerine acetate,"3239-35-8, 3239-37-0, 91482-37-0",,MySkinRecipes,41250.0,THB (per kg),41.25
(E)-dec-2-enal (FEMA-2366) [MySkinRecipes],(E)-dec-2-enal (FEMA-2366),3913-81-3,2366.0,MySkinRecipes,55500.0,THB (per kg),55.5
"(E)-dodec-2-enal (trans-2-Dodecenal, FEMA-2402) [MySkinRecipes]","(E)-dodec-2-enal (trans-2-Dodecenal, FEMA-2402)",20407-84-5,2402.0,MySkinRecipes,15000.0,THB (per kg),15.0
(E)-oct-2-en-4-one (FEMA-3603) [MySkinRecipes],(E)-oct-2-en-4-one (FEMA-3603),4643-27-0,3603.0,MySkinRecipes,104000.0,THB (per kg),104.0
(E)-oct-5-enal (FEMA-4898) [MySkinRecipes],(E)-oct-5-enal (FEMA-4898),41547-29-9,4898.0,MySkinRecipes,431250.0,THB (per kg),431.25
"(E,E)-2,4-decadienal (FEMA-3135) [MySkinRecipes]","(E,E)-2,4-decadienal (FEMA-3135)",25152-84-5,3135.0,MySkinRecipes,52500.0,THB (per kg),52.5
"(E,E)-2,4-heptadienal (FEMA-3164, 90%) [MySkinRecipes]","(E,E)-2,4-heptadienal (FEMA-3164, 90%)","4313-03-5|90.0
25265-71-8|10.0",3164.0,MySkinRecipes,69500.0,THB (per kg),69.5
"(NE)-N-[(6E)-2,4,4,7-tetramethylnona-6,8-dien-3-ylidene]hydroxylamine [MySkinRecipes]","(NE)-N-[(6E)-2,4,4,7-tetramethylnona-6,8-dien-3-ylidene]hydroxylamine",81783-01-9,,MySkinRecipes,109500.0,THB (per kg),109.5
(S)-dihydroactinidiolide (FEMA-4020) [MySkinRecipes],(S)-dihydroactinidiolide (FEMA-4020),17092-92-1,4020.0,MySkinRecipes,48000.0,THB (per kg),48.0
(Z)-3-hexen-1-yl hexanoate (FEMA-3403) [MySkinRecipes],(Z)-3-hexen-1-yl hexanoate (FEMA-3403),31501-11-8,3403.0,MySkinRecipes,24000.0,THB (per kg),24.0
(Z)-3-hexen-1-yl lactate (FEMA-3690) [MySkinRecipes],(Z)-3-hexen-1-yl lactate (FEMA-3690),61931-81-5,3690.0,MySkinRecipes,13050.0,THB (per kg),13.05
(Z)-3-hexen-1-yl tiglate (FEMA-3931) [MySkinRecipes],(Z)-3-hexen-1-yl tiglate (FEMA-3931),67883-79-8,3931.0,MySkinRecipes,37500.0,THB (per kg),37.5
(Z)-3-octen-1-ol (FEMA-3467) [MySkinRecipes],(Z)-3-octen-1-ol (FEMA-3467),20125-84-2,3467.0,MySkinRecipes,90000.0,THB (per kg),90.0
"(Z)-4-phenylbut-3-ene-1,2,3-triol (FEMA-2129) [MySkinRecipes]","(Z)-4-phenylbut-3-ene-1,2,3-triol (FEMA-2129)",1319-88-6,2129.0,MySkinRecipes,2850.0,THB (per kg),2.85
(Z)-dec-4-enal (FEMA-3264) [MySkinRecipes],(Z)-dec-4-enal (FEMA-3264),21662-09-9,3264.0,MySkinRecipes,270000.0,THB (per kg),270.0
"(Z)-hept-4-enal (cis-4-Heptenal, FEMA-3289) [MySkinRecipes]","(Z)-hept-4-enal (cis-4-Heptenal, FEMA-3289)",6728-31-0,3289.0,MySkinRecipes,110500.0,THB (per kg),110.5
(Z)-hex-3-enyl] 2-methylbutanoate (FEMA-3497) [MySkinRecipes],(Z)-hex-3-enyl] 2-methylbutanoate (FEMA-3497),53398-85-9,3497.0,MySkinRecipes,21750.0,THB (per kg),21.75
(Z)-hex-4-en-1-ol (FEMA-3430) [MySkinRecipes],(Z)-hex-4-en-1-ol (FEMA-3430),928-91-6,3430.0,MySkinRecipes,135000.0,THB (per kg),135.0
(Z)-non-6-enal (FEMA-3580) [MySkinRecipes],(Z)-non-6-enal (FEMA-3580),2277-19-2,3580.0,MySkinRecipes,90000.0,THB (per kg),90.0
(Z)-oct-5-enal (FEMA-3749) [MySkinRecipes],(Z)-oct-5-enal (FEMA-3749),41547-22-2,3749.0,MySkinRecipes,255000.0,THB (per kg),255.0
"1,1,3-trimethyl-3-phenyl indan [MySkinRecipes]","1,1,3-trimethyl-3-phenyl indan",3910-35-8,,MySkinRecipes,1050.0,THB (per kg),1.05
"1,3,3-trimethylbicyclo[2.2.1]hept-2-yl acetate (FEMA-3390) [MySkinRecipes]","1,3,3-trimethylbicyclo[2.2.1]hept-2-yl acetate (FEMA-3390)",13851-11-1,3390.0,MySkinRecipes,2100.0,THB (per kg),2.1
"1,6-Hexanedithiol (FEMA-3495) [MySkinRecipes]","1,6-Hexanedithiol (FEMA-3495)",1191-43-1,3495.0,MySkinRecipes,52950.0,THB (per kg),52.95
1-(4-methoxyphenyl)ethanone (FEMA-2005) [MySkinRecipes],1-(4-methoxyphenyl)ethanone (FEMA-2005),100-06-1,2005.0,MySkinRecipes,1350.0,THB (per kg),1.35
"1-(5,5-dimethyl-1-cyclohexenyl)pent-4-en-1-one [MySkinRecipes]","1-(5,5-dimethyl-1-cyclohexenyl)pent-4-en-1-one",56973-85-4,,MySkinRecipes,6900.0,THB (per kg),6.9
