Product_ID,Material_Name,CAS_Number,FEMA,Supplier,Original_Price,Currency,Price_Per_Gram
4EW07503 [PerfumersWorld],2 3-Dimethyl Pyrazine,,,PerfumersWorld,2.69,USD (per g),2.69
5EW07840 [PerfumersWorld],2 3-Dimethyl Pyrazine 1% in DPG,,,PerfumersWorld,0.12,USD (per g),0.12
5EW20137 [PerfumersWorld],2 3-Dimethyl Pyrazine 10% in DPG,,,PerfumersWorld,0.29,USD (per g),0.29
4EW14326 [PerfumersWorld],2 Acetyl Thaizole,,,PerfumersWorld,2.50,USD (per g),2.50
1EN13109 [PerfumersWorld],2-Acetyl Pyrazine,,,PerfumersWorld,0.71,USD (per g),0.71
5EN13769 [PerfumersWorld],2-Acetyl Pyrazine 1% in DPG,,,PerfumersWorld,0.10,USD (per g),0.10
4ES11805 [PerfumersWorld],2-iso Propyl 4 Methyl Thiazole,,,PerfumersWorld,1.48,USD (per g),1.48
5ES13952 [PerfumersWorld],2-iso Propyl 4 Methyl Thiazole 1% in DPG,,,PerfumersWorld,0.10,USD (per g),0.10
4FC07622 [PerfumersWorld],2-Methyl-2-Pentenoic Acid,,,PerfumersWorld,0.32,USD (per g),0.32
5FC07623 [PerfumersWorld],2-Methyl-2-Pentenoic Acid 10% in DPG,,,PerfumersWorld,0.05,USD (per g),0.05
4FD00001 [PerfumersWorld],2-Methylbutyl 2-Methylbutyrate,,,PerfumersWorld,0.33,USD (per g),0.33
4FY22527 [PerfumersWorld],2-Octen-4-one,,,PerfumersWorld,4.10,USD (per g),4.10
0ZH20962 [PerfumersWorld],3-Methyl-3-Methoxy Butanol (MMB) ,,,PerfumersWorld,0.03,USD (per g),0.03
1VD00002 [PerfumersWorld],6-Methyl Coumarin,,,PerfumersWorld,0.58,USD (per g),0.58
5VD07562 [PerfumersWorld],6-Methyl Coumarin 10% in DPG,,,PerfumersWorld,0.18,USD (per g),0.18
6AN18003 [PerfumersWorld],A-ALDEHYDE F-TEC,,,PerfumersWorld,0.18,USD (per g),0.18
6AN07832 [PerfumersWorld],A-Aldehyde Fleuressence,,,PerfumersWorld,0.20,USD (per g),0.20
6NL18079 [PerfumersWorld],ACACIA F-TEC,,,PerfumersWorld,0.20,USD (per g),0.20
6NL08389 [PerfumersWorld],Acacia Fleuressence,,,PerfumersWorld,0.19,USD (per g),0.19
4FG02943 [PerfumersWorld],Acetic Acid,,,PerfumersWorld,0.07,USD (per g),0.07
4DV02664 [PerfumersWorld],Acetoin,,,PerfumersWorld,0.92,USD (per g),0.92
5DV09244 [PerfumersWorld],Acetoin 10% in DPG,,,PerfumersWorld,0.13,USD (per g),0.13
1NP00009 [PerfumersWorld],Acetophenone,,,PerfumersWorld,0.23,USD (per g),0.23
1SP00011 [PerfumersWorld],Acetyl Isoeugenol,,,PerfumersWorld,0.60,USD (per g),0.60
5SP07823 [PerfumersWorld],Acetyl Isoeugenol 10% in DPG,,,PerfumersWorld,0.12,USD (per g),0.12
4GA00012 [PerfumersWorld],Adoxal,,,PerfumersWorld,1.42,USD (per g),1.42
5GA08479 [PerfumersWorld],Adoxal 10% in DPG,,,PerfumersWorld,0.17,USD (per g),0.17
6WU18875 [PerfumersWorld],AGARWOOD F-TEC,,,PerfumersWorld,1.30,USD (per g),1.30
6WU08483 [PerfumersWorld],Agarwood Fleuressence,,,PerfumersWorld,1.60,USD (per g),1.60
7WU09890 [PerfumersWorld],Agarwood Oil Siam,,,PerfumersWorld,25.00,USD (per g),25.00
5WU15067 [PerfumersWorld],Agarwood Oil Siam 10% in DPG,,,PerfumersWorld,2.80,USD (per g),2.80
8WU13317 [PerfumersWorld],Agarwood Siam 10% in Nagarmotha Oil,,,PerfumersWorld,3.94,USD (per g),3.94
6CG13368 [PerfumersWorld],Agrumen Aldehyde PW,,,PerfumersWorld,0.20,USD (per g),0.20
3AE13387 [PerfumersWorld],Alcohol C-7 Heptanol,,,PerfumersWorld,0.34,USD (per g),0.34
3AD13388 [PerfumersWorld],Alcohol C-8 Octanol,,,PerfumersWorld,0.18,USD (per g),0.18
3AD00017 [PerfumersWorld],Alcohol C-9,,,PerfumersWorld,0.70,USD (per g),0.70
4AC00018 [PerfumersWorld],Aldehyde C-10 Decanal,,,PerfumersWorld,0.17,USD (per g),0.17
5AC07527 [PerfumersWorld],Aldehyde C-10 Decanal 10% in DPG,,,PerfumersWorld,0.08,USD (per g),0.08
5AC08459 [PerfumersWorld],Aldehyde C-10 Decanal 50% in DPG,,,PerfumersWorld,0.12,USD (per g),0.12
4AR00020 [PerfumersWorld],Aldehyde C-11 Undecanal,,,PerfumersWorld,0.41,USD (per g),0.41
5AR08831 [PerfumersWorld],Aldehyde C-11 Undecanal 10% in DPG,,,PerfumersWorld,0.11,USD (per g),0.11
4AR01236 [PerfumersWorld],Aldehyde C-11 Undecylenic,,,PerfumersWorld,0.30,USD (per g),0.30
5AR08462 [PerfumersWorld],Aldehyde C-11 Undecylenic 10% in DPG,,,PerfumersWorld,0.07,USD (per g),0.07
4AA00021 [PerfumersWorld],Aldehyde C-12 Lauric Dodecanal,,,PerfumersWorld,0.25,USD (per g),0.25
5AA07834 [PerfumersWorld],Aldehyde C-12 Lauric Dodecanal 10% in DPG,,,PerfumersWorld,0.06,USD (per g),0.06
4AG00022 [PerfumersWorld],Aldehyde C-12 MNA,,,PerfumersWorld,0.28,USD (per g),0.28
5AG07528 [PerfumersWorld],Aldehyde C-12 MNA 10% in DPG,,,PerfumersWorld,0.06,USD (per g),0.06
4DD00454 [PerfumersWorld],Aldehyde C-14 Gamma Undecalactone,,,PerfumersWorld,0.17,USD (per g),0.17
5DD07538 [PerfumersWorld],Aldehyde C-14 Gamma Undecalactone 10% in DPG,,,PerfumersWorld,0.15,USD (per g),0.15
4FC00176 [PerfumersWorld],Aldehyde C-16 Ethyl Methyl Phenyl Glycidate,,,PerfumersWorld,0.14,USD (per g),0.14
5FC07539 [PerfumersWorld],Aldehyde C-16 Ethyl Methyl Phenyl Glycidate 10% in DPG,,,PerfumersWorld,0.06,USD (per g),0.06
4DD00324 [PerfumersWorld],Aldehyde C-18 Gamma Nonalactone,,,PerfumersWorld,0.21,USD (per g),0.21
5DD12925 [PerfumersWorld],Aldehyde C-18 Gamma Nonalactone 10% in DPG,,,PerfumersWorld,0.07,USD (per g),0.07
4AG00025 [PerfumersWorld],Aldehyde C-7 Heptanal,,,PerfumersWorld,0.62,USD (per g),0.62
4AC00026 [PerfumersWorld],Aldehyde C-8 Octanal,,,PerfumersWorld,0.20,USD (per g),0.20
5AC08158 [PerfumersWorld],Aldehyde C-8 Octanal 10% in DPG,,,PerfumersWorld,0.07,USD (per g),0.07
4AC00027 [PerfumersWorld],Aldehyde C-9 Nonanal,,,PerfumersWorld,0.24,USD (per g),0.24
5AC10167 [PerfumersWorld],Aldehyde C-9 Nonanal 10% in DPG,,,PerfumersWorld,0.07,USD (per g),0.07
6GN23713 [PerfumersWorld],Algenone,,,PerfumersWorld,0.40,USD (per g),0.40
4GN23714 [PerfumersWorld],Algix Pure,,,PerfumersWorld,2.25,USD (per g),2.25
4FG00029 [PerfumersWorld],Allyl Amyl Glycolate,,,PerfumersWorld,0.20,USD (per g),0.20
5FG07543 [PerfumersWorld],Allyl Amyl Glycolate 10% in DPG,,,PerfumersWorld,0.05,USD (per g),0.05
4FC02995 [PerfumersWorld],Allyl Caproate,,,PerfumersWorld,0.14,USD (per g),0.14
4FC00030 [PerfumersWorld],Allyl Cyclohexyl Propionate,,,PerfumersWorld,0.17,USD (per g),0.17
5FC12465 [PerfumersWorld],Allyl Cyclohexyl Propionate 10% in DPG,,,PerfumersWorld,0.06,USD (per g),0.06
4IN10857 [PerfumersWorld],Allyl Ionone Cetone V,,,PerfumersWorld,1.30,USD (per g),1.30
9IF02656 [PerfumersWorld],Alpha Damascone,,,PerfumersWorld,1.90,USD (per g),1.90
5IF07569 [PerfumersWorld],Alpha Damascone 10% in DPG,,,PerfumersWorld,0.21,USD (per g),0.21
3IF00237 [PerfumersWorld],Alpha Ionone,,,PerfumersWorld,0.26,USD (per g),0.26
8II00243 [PerfumersWorld],Alpha Irone,,,PerfumersWorld,5.10,USD (per g),5.10
5II11436 [PerfumersWorld],Alpha Irone 10% in DPG,,,PerfumersWorld,0.52,USD (per g),0.52
5II09179 [PerfumersWorld],Alpha Irone 10% in Myristic Acid(solid),,,PerfumersWorld,0.57,USD (per g),0.57
