Category,Name,CAS,URL
naturais,Bergamot Essential Oil / น้ำมันหอมระเหย เบอร์กามอท,,https://www.simplescentsdiy.com/product/34419-33869/bergamot
naturais,Aroma Chemicals : Siam Benzoin Resinoid,84012-39-5,https://www.simplescentsdiy.com/product/34168-33501/siam-benzoin-resinoid
naturais,Black Pepper Oil / น้ำมันหอมระเหย พริกไทยดำ,84929-41-9,https://www.simplescentsdiy.com/product/33658-32964/black-pepper-oil
naturais,Neroli Egypt Oil / น้ำมันหอมระเหย ดอกส้ม (เนโรลี่) / 2 g,,https://www.simplescentsdiy.com/product/34421-33871/neroli-egypt-oil
naturais,Grapefruit Essential Oil / น้ำมันหอมระเหย เกรปฟรุต,,https://www.simplescentsdiy.com/product/34432-33882/grapefruit-
naturais,Rosemary Essential Oil / น้ำมันหอมระเหย โรสแมรี่,,https://www.simplescentsdiy.com/product/34444-33894/rosemary
naturais,Pink Pepper Oil CO2 Extract / น้ำมันหอมระเหย พริกไทยชมพู,,https://www.simplescentsdiy.com/product/34159-33491/pink-pepper-oil-
naturais,Clary Sage Oil / น้ำมันหอมระเหย น้ำมันหอมระเหย คลารี่ เสจ,84775-83-7,https://www.simplescentsdiy.com/product/33659-32965/clary-sage
naturais,Nutmeg Oil / น้ำมันหอมระเหย จันเทศ,84082-68-8,https://www.simplescentsdiy.com/product/33660-32966/nutmeg
naturais,Lavander Essential Oil / น้ำมันหอมระเหย ลาเวนเดอร์,,https://www.simplescentsdiy.com/product/34437-33887/lavander
naturais,Lemongrass Essential Oil / น้ำมันหอมระเหย ตะไคร้,,https://www.simplescentsdiy.com/product/34445-33895/lemongrass
naturais,Orange Essential Oil / น้ำมันหอมระเหย เปลือกส้ม / Orange Oil,,https://www.simplescentsdiy.com/product/34448-33898/orange
naturais,Menthol Liquid Essential Oil / น้ำมันหอมระเหย เมนทอล,,https://www.simplescentsdiy.com/product/34433-33883/menthol-liquid-
naturais,Methyl Salicylate Essential Oil / น้ำมันหอมระเหย ระกำ,,https://www.simplescentsdiy.com/product/34440-33890/methyl-salicylate
naturais,Lemon Eucalyptus Oil / น้ำมันหอมระเหย เลม่อน ยูคาลิปตัส,,https://www.simplescentsdiy.com/product/34446-33896/lemon-eucalyptus
naturais,Lime Essential Oil / น้ำมันหอมระเหย มะนาว 1 oz,,https://www.simplescentsdiy.com/product/34422-33872/lime
naturais,Lavandin Grosso Essential Oil / น้ำมันหอมระเหย ลาเวนดิน,,https://www.simplescentsdiy.com/product/34442-33892/lavandin-grosso
naturais,Cedarwood Virginia Oil / น้ำมันหอมระเหย ซีดาร์วูด เวอร์จิเนีย 30 ml,,https://www.simplescentsdiy.com/product/33664-32970/cedarwood-virginia
naturais,Pine Essential Oil / น้ำมันหอมระเหย ไพน์  1 oz,,https://www.simplescentsdiy.com/product/34423-33873/pine
naturais,Ginger Essential Oil / น้ำมันหอมระเหย ขิง,,https://www.simplescentsdiy.com/product/34436-33886/ginger-
naturais,Citronella Essential Oil / น้ำมันหอมระเหย ตะไคร้หอม,,https://www.simplescentsdiy.com/product/34438-33888/citronella-
naturais,Vetiver Haiti Oil / น้ำมันหอมระเหย หญ้าแฝก 10 ml,84238-29-9,https://www.simplescentsdiy.com/product/33662-32968/vetiver-haiti
naturais,Bitter Orange Essential Oil / น้ำมันหอมระเหย ส้มขม,,https://www.simplescentsdiy.com/product/34424-33874/bitter-orange
naturais,Lemon Essential Oil / น้ำมันหอมระเหย เลม่อน,,https://www.simplescentsdiy.com/product/34443-33893/lemon-oil
naturais,Camphor Essential Oil / น้ำมันหอมระเหย การบูร / Camphor Oil,,https://www.simplescentsdiy.com/product/34441-33891/camphor
naturais,Eucalyptus Essential Oil / น้ำมันหอมระเหย ยูคาลิปตัส,,https://www.simplescentsdiy.com/product/34447-33897/eucalyptus
naturais,Clove Leaves Essential Oil / น้ำมันหอมระเหย ใบกานพลู,84961-50-2,https://www.simplescentsdiy.com/product/35629-35272/cloveleaves
naturais,Spearmint Essential Oil / น้ำมันหอมระเหย สเปียร์มินต์,,https://www.simplescentsdiy.com/product/34434-33884/spearmint
